Title,BL10:Det:Q1:TIFF1:FilePath,BL10:Det:Q1:TIFF1:FileName,BL10:Mot:rot4,Delay,BL10:Det:Q1:AcquireTime,BL10:Det:Q1:Acquire,Delay
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_134_058,134.5807413,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_357_007,357.0729772,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_219_057,219.5652132,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_082_006,82.05744915,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_304_055,304.5496851,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_167_004,167.041921,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_029_053,29.534157,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_252_003,252.0263929,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_114_052,114.5186289,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_337_001,337.0108648,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_199_050,199.5031008,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_062_000,61.99533675,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_284_049,284.4875727,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_146_098,146.9798086,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_009_047,9.472044597,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_231_096,231.9642805,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_094_046,94.4565165,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_316_095,316.9487524,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_179_044,179.4409884,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_041_093,41.93322435,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_264_043,264.4254603,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_126_092,126.9176962,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_349_041,349.4099322,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_211_090,211.9021681,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_074_039,74.3944041,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_296_089,296.88664,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_159_038,159.378876,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_021_087,21.87111195,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_244_036,244.3633479,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_106_086,106.8555838,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_329_035,329.3478198,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_191_084,191.8400557,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_054_033,54.3322917,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_276_082,276.8245276,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_139_032,139.3167636,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_001_081,1.808999547,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_224_030,224.3012355,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_086_079,86.79347145,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_309_029,309.2857074,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_171_078,171.7779433,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_034_027,34.2701793,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_256_076,256.7624152,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_119_025,119.2546512,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_341_075,341.7468871,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_204_024,204.2391231,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_066_073,66.73135905,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_289_022,289.223595,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_151_072,151.7158309,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_014_021,14.2080669,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_236_070,236.7003028,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_099_019,99.1925388,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_321_068,321.6847747,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_184_018,184.1770107,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_046_067,46.66924665,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_269_016,269.1614826,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_131_065,131.6537185,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_354_015,354.1459545,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_216_064,216.6381904,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_079_013,79.1304264,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_301_062,301.6226623,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_164_011,164.1148983,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_026_061,26.60713425,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_249_010,249.0993702,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_111_059,111.5916061,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_334_008,334.0838421,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_196_058,196.576078,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_059_007,59.068314,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_281_056,281.5605499,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_144_005,144.0527859,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_006_055,6.545021845,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_229_004,229.0372578,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_091_053,91.52949375,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_314_002,314.0217297,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_176_051,176.5139656,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_039_001,39.0062016,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_261_050,261.4984375,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_123_099,123.9906735,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_346_048,346.4829094,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_208_098,208.9751454,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_071_047,71.46738134,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_293_096,293.9596173,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_156_045,156.4518532,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_018_094,18.94408919,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_241_044,241.4363251,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_103_093,103.9285611,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_326_042,326.420797,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_188_091,188.913033,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_051_041,51.40526894,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_273_090,273.8975049,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_136_039,136.3897408,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_358_088,358.8819768,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_221_037,221.3742127,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_083_087,83.86644869,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_306_036,306.3586846,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_168_085,168.8509206,10,180,1,20
